A|A1|44
S|DERIB|047926389|0039908334|NALEM|047950000|0039808333|280|0|426

A|A103|15
S|PINAX|037250000|0069100000|OKTAB|038181667|0068893334|0|347|5675
S|OKTAB|038181667|0068893334|DNB|038541667|0068811667|346|346|2194
S|DNB|038541667|0068811667|SX|038843334|0068840000|346|360|1815
S|SX|038843334|0068840000|AMEMA|039333333|0068883334|360|360|2947
S|AMEMA|039333333|0068883334|PF|040050000|0068950000|360|360|4311
S|PF|040050000|0068950000|RORTA|040140000|0069031667|360|30|657
S|RORTA|040140000|0069031667|ASBUG|040220000|0069105000|30|31|586
S|ASBUG|040220000|0069105000|DILRO|040408333|0069276667|31|30|1376
S|DILRO|040408333|0069276667|IRLOV|040708333|0069583333|31|33|2279
S|IRLOV|040708333|0069583333|LELBA|040915000|0069795000|33|33|1569
S|LELBA|040915000|0069795000|PESEN|040981667|0070383333|34|77|2696
S|PESEN|040981667|0070383333|UDALU|040996667|0070520000|77|77|625
S|UDALU|040996667|0070520000|OLUMU|041038333|0070900000|77|77|1738
S|OLUMU|041038333|0070900000|SUBAB|041153333|0072025000|77|77|5133
S|SUBAB|041153333|0072025000|NS|041201664|0072180911|78|0|761

A|A103|15
S|NS|041201664|0072180911|SUBAB|041153333|0072025000|0|244|761
S|SUBAB|041153333|0072025000|OLUMU|041038333|0070900000|244|258|5133
S|OLUMU|041038333|0070900000|UDALU|040996667|0070520000|257|257|1738
S|UDALU|040996667|0070520000|PESEN|040981667|0070383333|257|257|625
S|PESEN|040981667|0070383333|LELBA|040915000|0069795000|257|257|2696
S|LELBA|040915000|0069795000|IRLOV|040708333|0069583333|257|214|1569
S|IRLOV|040708333|0069583333|DILRO|040408333|0069276667|213|213|2279
S|DILRO|040408333|0069276667|ASBUG|040220000|0069105000|213|211|1376
S|ASBUG|040220000|0069105000|RORTA|040140000|0069031667|210|211|586
S|RORTA|040140000|0069031667|PF|040050000|0068950000|211|210|657
S|PF|040050000|0068950000|AMEMA|039333333|0068883334|210|180|4311
