ABDAN|38595000|59366667|UT
ABDAP|49991389|7156944|ED
ABDAR|47196944|35255833|UK
ABDEN|41310833|12213056|LI
ABDER|65345000|178103333|UH
ABDES|43633095|39491050|UR
ABDIB|43961389|50870556|UA
ABDIK|37688333|41955278|LT
ABDIL|44152500|5341945|LF
ABDIM|53042514|8174392|ED
ABDIN|35805833|11290000|DT
ABDIR|57521945|60606667|US
ABDIV|48621333|11068500|ED
ABDOB|49900089|6581697|ET
ABDOK|41288333|71138333|UC
ABDOL|68531389|33456945|UL
ABDOR|31886525|-7498842|GM
ABDOS|47665833|2529722|LF
ABDOX|53288028|-6154667|EI
ABDUK|51642778|-3800278|EG
ABDUL|30400000|67450000|OP
ABDUL|60294808|4878872|EN
ABDUN|46226944|59721111|UA
ABDUR|38013333|61726667|UT
ABDUS|49344564|-2861659|EG
ABEAR|-26434667|-49651500|SB
ABEBA|44499167|74046667|UA
ABEBO|47680906|9916689|ED
ABEDA|52327778|1871111|EG
ABEDI|58751945|159330556|UH
ABEDO|59968334|35832778|UL
ABEGI|55841945|12788889|EK
ABEGO|46095278|23643056|LR
ABEKA|41118056|68745000|UA
ABEKO|39575000|55898334|UT
ABELA|-30894667|-52306833|SB
ABELA|44191389|42600278|UR
ABELI|51590000|75220000|UA
ABELO|61943889|64891667|US
ABELT|53952381|-98145119|CY
ABELU|63733333|40182500|UL
ABEMI|71073611|148810278|UE
ABENA|53987222|158024722|UH
ABENI|59237861|17088778|ES
ABENO|34592342|135698770|RJ
ABENU|50485833|68831111|UA
ABENY|54251728|-113076103|CY
ABEPI|14371142|20512197|FT
ABERA|8215381|124346953|RP
ABERA|59565278|145876945|UH
